Hospital,County,City,Address,Phone,Bed Count,Program Type,Population Served,Insurance Accepted,Accreditation,Website
LAC+USC Medical Center - Psychiatry,Los Angeles,Los Angeles,"2051 Marengo St, Los Angeles, CA 90033",(323) 409-1000,90,Acute Psychiatric; Forensic,Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://dhs.lacounty.gov/lac-usc
Exodus Recovery - Inpatient,Los Angeles,Los Angeles,"10630 S Western Ave, Los Angeles, CA 90047",(310) 673-1101,40,Acute Psychiatric; Dual Diagnosis,Adults,Medi-Cal,CDPH,https://exodusrecovery.com
Del Amo Behavioral Health,Los Angeles,Torrance,"23700 Camino Del Sol, Torrance, CA 90505",(310) 530-1151,166,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://delamobehavioral.com
College Hospital Costa Mesa,Orange,Costa Mesa,"301 Victoria St, Costa Mesa, CA 92627",(949) 642-2734,122,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://collegehospitals.com
College Hospital Cerritos,Los Angeles,Cerritos,"10802 College Place, Cerritos, CA 90703",(562) 924-9581,157,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://collegehospitals.com
Pacifica Hospital of the Valley,Los Angeles,Sun Valley,"9449 San Fernando Rd, Sun Valley, CA 91352",(818) 767-6801,231,Acute Psychiatric; Dual Diagnosis; Geriatric,Adults; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://pacificahospital.com
Las Encinas Hospital,Los Angeles,Pasadena,"2900 E Del Mar Blvd, Pasadena, CA 91107",(626) 795-9901,138,Acute Psychiatric; Dual Diagnosis; Geriatric,Adults; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://lasencinashospital.com
Brotman Medical Center - Behavioral Health,Los Angeles,Culver City,"3828 Delmas Terrace, Culver City, CA 90232",(310) 836-7000,60,Acute Psychiatric; Dual Diagnosis,Adults,Medicare; Medi-Cal; Private,CDPH,https://brotmanmedicalcenter.com
Fremont Hospital,Alameda,Fremont,"39001 Sundale Dr, Fremont, CA 94538",(510) 796-1100,96,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://fremonthospital.com
St. Helena Hospital - Center for Behavioral Health,Napa,Vallejo,"525 Oregon St, Vallejo, CA 94590",(707) 648-2200,54,Acute Psychiatric; Dual Diagnosis,Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://adventisthealth.org/st-helena
Sierra Vista Hospital,Sacramento,Sacramento,"8001 Bruceville Rd, Sacramento, CA 95823",(916) 288-0300,170,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://sierravistahospital.com
Heritage Oaks Hospital,Sacramento,Sacramento,"4250 Auburn Blvd, Sacramento, CA 95841",(916) 489-3336,120,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://heritageoakshospital.com
Mercy General Hospital - Behavioral Health,Sacramento,Sacramento,"4001 J St, Sacramento, CA 95819",(916) 453-4545,35,Acute Psychiatric; Geriatric,Adults; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://dignityhealth.org/mercy-general
Fresno County Psychiatric Health Facility,Fresno,Fresno,"4441 E Kings Canyon Rd, Fresno, CA 93702",(559) 600-3830,16,Acute Psychiatric,Adults,Medi-Cal; Medicare,CDPH,https://fresnobehavioralhealth.org
Crestwood Behavioral Health - Fresno,Fresno,Clovis,"4491 N Cedar Ave, Clovis, CA 93611",(559) 298-8282,75,Acute Psychiatric; Long-Term Care,Adults,Medi-Cal,CDPH,https://crestwoodbehavioral.com
Bakersfield Behavioral Healthcare Hospital,Kern,Bakersfield,"5201 White Lane, Bakersfield, CA 93309",(661) 398-1800,90,Acute Psychiatric; Child & Adolescent; Dual Diagnosis,Adults; Youth,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://bakersfieldbehavioral.com
Kern Medical - Psychiatric Unit,Kern,Bakersfield,"1700 Mount Vernon Ave, Bakersfield, CA 93306",(661) 326-2000,30,Acute Psychiatric,Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://kernmedical.com
Psychiatric Health Facility - Ventura County,Ventura,Ventura,"300 Hillmont Ave, Ventura, CA 93003",(805) 652-6767,57,Acute Psychiatric,Adults,Medi-Cal; Medicare,CDPH,https://vcbh.org
Community Memorial Hospital - Behavioral Health,Ventura,Ventura,"147 N Brent St, Ventura, CA 93003",(805) 652-5011,28,Acute Psychiatric; Geriatric,Adults; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://cmhshealth.org
Scripps Mercy Hospital - Psychiatric Unit,San Diego,San Diego,"4077 5th Ave, San Diego, CA 92103",(619) 294-8111,40,Acute Psychiatric; Geriatric,Adults; Older Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://www.scripps.org
San Diego County Psychiatric Hospital,San Diego,San Diego,"3853 Rosecrans St, San Diego, CA 92110",(619) 692-8200,208,Acute Psychiatric; Forensic,Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://sdbehavioralhealth.org
Alvarado Parkway Institute,San Diego,La Mesa,"7050 Parkway Dr, La Mesa, CA 91942",(619) 465-4411,68,Acute Psychiatric; Dual Diagnosis,Adults,Medicare; Medi-Cal; Private,Joint Commission; CDPH,https://apibhs.com
Psychiatric Health Facility - Contra Costa,Contra Costa,Martinez,"1340 Arnold Dr, Martinez, CA 94553",(925) 957-5150,32,Acute Psychiatric,Adults,Medi-Cal; Medicare,CDPH,https://cchealth.org
John George Psychiatric Hospital,Alameda,San Leandro,"2060 Fairmont Dr, San Leandro, CA 94578",(510) 346-1300,76,Acute Psychiatric; Forensic,Adults,Medi-Cal; Medicare,Joint Commission; CDPH,https://acbhcs.org
Psychiatric Health Facility - Santa Clara,Santa Clara,San Jose,"976 Lenzen Ave, San Jose, CA 95126",(408) 885-7800,50,Acute Psychiatric,Adults,Medi-Cal; Medicare,CDPH,https://bhsd.sccgov.org
