Program Name,County,City,Address,Phone,Program Type,Population Served,Insurance accepted,Services offered,Website
Ventura County BHS - Central,Ventura,Ventura,"5850 Valentine Rd, Ventura, CA 93003",(805) 652-6767,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Psychiatric evaluation, Group therapy, Medication management",https://vcbh.org
Riverside BHS - Desert Region,Riverside,Indio,"47-955 Arabia St, Indio, CA 92201",(760) 863-8455,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://rcdmh.org
Riverside BHS - Western Region,Riverside,Riverside,"9990 County Farm Rd, Riverside, CA 92503",(951) 955-7640,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Psychiatric evaluation, Group therapy, Medication management",https://rcdmh.org
San Bernardino County DBH - San Bernardino,San Bernardino,San Bernardino,"850 E Foothill Blvd, Rialto, CA 92376",(800) 722-4777,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://sbcounty.gov/dbh
San Bernardino County DBH - High Desert,San Bernardino,Victorville,"15233 Outer Hwy 18, Apple Valley, CA 92307",(760) 955-4490,Psychiatric Outpatient,Adults; Older Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://sbcounty.gov/dbh
Orange County HCA - Behavioral Health,Orange,Santa Ana,"405 W 5th St, Santa Ana, CA 92701",(855) 625-4800,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://ochealthinfo.com
Orange County HCA - North County,Orange,Anaheim,"1200 N Main St, Orange, CA 92868",(855) 625-4800,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Psychiatric evaluation, Group therapy, Medication management",https://ochealthinfo.com
Behavioral Health Associates - Monterey,Monterey,Salinas,"1441 Constitution Blvd, Salinas, CA 93906",(831) 755-4990,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Individual therapy",https://co.monterey.ca.us/bhs
Stanislaus County BHS,Stanislaus,Modesto,"800 Scenic Dr, Modesto, CA 95350",(888) 266-6468,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://schsa.org
Solano County BHS,Solano,Fairfield,"275 Beck Ave, Fairfield, CA 94533",(707) 784-8390,Psychiatric Outpatient,Adults; Youth,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://solanocounty.com/bhs
Sonoma County BHS,Sonoma,Santa Rosa,"2227 Capricorn Way, Santa Rosa, CA 95407",(707) 565-7550,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://sonomacounty.ca.gov/bhs
Shasta County BHS,Shasta,Redding,"2650 Breslauer Way, Redding, CA 96001",(530) 225-5200,Psychiatric Outpatient,Adults; Older Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Group therapy",https://www.co.shasta.ca.us/bhs
San Mateo County BHS,San Mateo,San Mateo,"2000 Alameda de las Pulgas, San Mateo, CA 94403",(800) 686-0101,Psychiatric Outpatient,Adults,Medi-Cal; Medicare,"Psychiatric evaluation, Medication management, Case management",https://smcbhs.org
